procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  57088 2581212      0 13408608   15   17  6393   614  562 1457  5  2 87  5  0
 1  0  57088 176120      0 15737740    0    2 147774    29 2115 1345 10  3 83  4  0
 1  1  56832 176864      0 15081496   24    0 152076   512 2281 2145  8  3 82  6  0
 0  1  56832 167416      0 15090356    0    0 197180    38 2258 2036  7  3 83  7  0
 0  1  56832 166388      0 15091696    0    0 203877     1 2259 2355  6  3 83  8  0
 0  1  56832 176588      0 15359916    0    0 167496     7 2088 1478  8  3 83  5  0
 1  0  56832 160536      0 15374556    7    0 194643     7 2422 1274 10  3 83  5  0
 1  0  56832 167500      0 15368100    0    0 198691     8 2504 1326 10  3 83  5  0
 1  0  57600 171028      0 15364612    0   49 194602    50 2743 1284 10  3 83  5  0
 3  0  57344 596960      0 15381588   40    0  8543    61 2843  356 41  2 56  0  0
 3  0  57344 595960      0 15382424    1    0     2     1 3074  203 48  2 50  0  0
 3  0  57344 594704      0 15383304   27    0    33    37 3252  187 48  2 50  0  0
 3  0  57344 593052      0 15384200    0    0     4     1 3277  236 48  2 50  0  0
 0  1 114944 169544      0 15776668    0 3838  3902  3849 3281  580 42  3 54  1  0
 3  0  63488 313516      0 15667740 5095 1610 37834  1616 4911 3415 12  4 77  6  0
 0  3  77568 174460      0 15798608   21  977 173569   985 3584 7140 15  7 49 29  0
 0  3  87296 183368      0 15785468  126  686 184783   730 3572 7965 11  7 48 34  0
 0  3 128768 170584      0 15791836   70 2782 181398  2843 3022 8245 11  7 48 34  0
 3  0 146432 162852      0 15796780  160 1282 69386  1285 3360 3966 29  8 50 13  0
 2  1 477440 161124      0 15799640 1175 23168 73429 23173 4729 9242 19 12 59 11  0
 0  3 521728 170600      0 15762308 2141 4223 143553  4225 8606 13032  4  9 48 39  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 101120 167916      0 15810108 27977  531 132376   542 9102 15276  3  9 51 36  0
 0  3  99840 167496      0 15799532  119  111 77044   113 6154 14918 14 17 56 13  0
 0  3 106752 164044      0 15790768  981 1025 132519  1034 11553 21375 12  7 49 32  0
 0  3 117760 174360      0 15784224  136  903 135996   906 11216 20890 14  6 50 30  0
 3  0 128512 203972      0 15759380   13  719 90131   733 7073 12378 20  7 51 22  0
 1  0  99328 181708      0 15806740 1634   93 50031    96 6878 2749 12  7 76  4  0
 3  0 100096 181096      0 15807760  115  129 54649   141 2488 3747 10  8 73  9  0
 0  3 112128 165112      0 15792228 1160 1410 155198  1412 8025 12030 14  7 48 30  0
 3  0 101376 168904      0 15796684 1384 1099 68399  1110 11112 11291 25  8 50 17  0
 0  3  99584 158364      0 15814652  179  170 94545   172 11135 6594 23 11 51 14  0
 1  2  99584 156344      0 15806700  196  143 149079   154 18006 8699 13 15 53 20  0
 0  3 101376 175856      0 15785620  416  378 264430   384 24388 15120  3  9 49 40  0
 0  3 100096 176208      0 15787968   58   36 233380    44 21682 14668  4 10 49 37  0
 0  3 100096 193456      0 15772220    9   11 184179  8204 14835 12450  7 10 49 33  0
 2  1  99584 344092      0 15618940   19    0 184993    14 7074 7203 16  8 49 27  0
 1  3  99328 176232      0 15789316   75   31 255315    31 24401 14435  4  9 49 38  0
 0  3  99584 167020      0 15796984   14   35 178726    45 17744 13958  7 11 49 34  0
 0  3  99584 171708      0 15791500    3    0 182344 10037 10588 11221 12  9 49 31  0
 0  3  99584 166388      0 15795768    7   15 220640    21 16766 10049 13  8 49 29  0
 3  0 100352 180436      0 15782632  129  112 213295   112 21342 14259  5 10 48 37  0
 2  1 100608 171180      0 15791060    6    7 166760  8430 13562 11283  8 11 49 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2  99328 1001548      0 14979428   25    0 162072     2 5775 8893 18  8 49 25  0
 1  2 100608 170684      0 15797152  157  194 267458   199 25733 15024  3 10 48 39  0
 1  2  99584 160212      0 15805504  131   67 157874    67 15406 11481  8 13 49 30  0
