procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  64256 4359964      0 11643496   35   37  9004   648  754  516  8  3 81  7  0
 0  1  64256 1393584      0 14519656    8    0 148657    17 2894 2711  8  3 84  6  0
 0  1  64512 163760      0 15103784    0   17 59286    44 3778 4375  8  2 83  6  0
 0  1  64512 171680      0 15094664    1    0 89163    15 5689 7506  5  3 83  9  0
 1  0  64512 672284      0 15086556    0    0 126019    25 5931 6311  5  3 83  8  0
 1  0  64512 455284      0 15087596    0    0    52     0 1145  233 15  2 83  0  0
 3  0  64512 857892      0 15099600    0    0   587    64 2024  327 29  2 69  0  0
 3  0  64512 855772      0 15100424    3    0     3     1 3117  262 47  2 50  0  0
 3  0  64256 853400      0 15101636   35    0    54    41 3491  267 47  2 50  0  0
 3  0  64256 853380      0 15102360    0    0     0     0 3235  207 47  2 51  0  0
 0  0  64256 898172      0 15102096    0    0     0    18 3494  206 47  2 51  0  0
 2  0 100352 185316      0 15734240 2876 5217 22893  5218 3211 2269 13  4 80  3  0
 1  0  76544 339804      0 15640272 2345  717 101721   731 11002 18354 15  7 51 26  0
 0  0  76032 354480      0 15647888   29    0   218     5 2992  556 37 10 54  0  0
 3  1 412928 173860      0 15786888 2698 24590 146518 24610 10446 13707  5 12 58 25  0
 2  1  90112 167376      0 15761176 21565  219 145318   255 13008 15417  5 12 51 33  0
 1  0  86528 156572      0 15790404  209  158 87318   178 5432 12270 14 17 56 13  0
 0  3  89856 159332      0 15768188    9  223 131122   243 13137 21796 11  8 49 31  0
 3  0  99328 178684      0 15736840 1314 1348 151618  1378 13361 24539 10  7 49 34  0
 2  1 110080 172128      0 15747464  206  987 139255   988 12320 23461 10  5 52 33  0
 3  0 117504 177552      0 15736812   29  514 83585   540 9953 14673 21  7 51 21  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  92672 168804      0 15812072 1573  439 47431   441 6088 3194 14  7 75  4  0
 1  3  94464 179020      0 15770772    5  135 16846   148 2192  888 10  7 81  2  0
 2  1 105472 173136      0 15743040 1230 1473 156073  1476 4578 9130 16  9 48 28  0
 3  0 102400 171408      0 15745556 1138  988 115233   997 11852 19220 14  6 51 29  0
 1  1  99840 171344      0 15781020  109   26 10941    28 3697 1526 30  9 59  2  0
 3  0  98560 168364      0 15782332  136  111 175326   147 18973 10230  5  7 67 20  0
 2  1  99584 173204      0 15743112   59  119 86194   121 10619 4688 14 12 66  9  0
 0  3 100352 171512      0 15744404  444  358 255964   373 24782 14740  3 11 48 38  0
 4  1  98560 177800      0 15740604   78   49 234083    50 22548 14530  5 11 48 37  0
 0  3  98560 175692      0 15742360    0    0 183292  7556 16348 12960  7 11 49 33  0
 2  1  98304 989692      0 14944480    8    0 163180     0 3782 6380 17  7 50 25  0
