procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  65792 4370664      0 11635572   44   46 10344   665  900  893 10  4 78  9  0
 0  1  63232 974420      0 14953804   85    0 178214    13 2247 1737  8  3 83  6  0
 0  1  63232 155524      0 15123464    7    0 146842    14 2157 1246 10  3 83  4  0
 1  0  62976 169076      0 15110072    0    0 190183    14 2278 1841  7  3 83  7  0
 1  0  62976 168352      0 15109716    0    0 201591    23 2300 2276  7  3 83  7  0
 1  0  62976 164388      0 15116392    0    0 199910     0 2295 2037  7  3 83  7  0
 1  0  62976 180416      0 14754664    0    0 180959    31 2322 1897  7  4 83  7  0
 0  1  62976 155580      0 14935280    0    0 128889     1 1869 1262  9  3 83  5  0
 0  1  62976 161432      0 14793196    0    0 117760    11 1835 1284 10  2 83  4  0
 1  0  63744 159480      0 14795180    2   37 92333 50478 1649 1066  9  2 83  5  0
 1  0  63744 173012      0 14780504    0    0 141571     4 1973 1573  9  3 83  5  0
 1  0  64000 174428      0 14382320    0   10 118082 19475 2311 1360  9  3 82  5  0
 1  0  64000 2956456      0 13033076   13    0 36255 31858 2211 2952  8  2 84  6  0
 3  0  63744 2844980      0 13158764   30    0  8239    44 3047  538 46  2 51  1  0
 3  0  63744 2843004      0 13159576    0    0     1     7 3075  107 48  2 50  0  0
 3  0  63744 2841360      0 13160568    0    0    15    14 3062   92 48  2 50  0  0
 3  0  63488 2841228      0 13161492   30    0    34    23 3961   91 48  2 50  0  0
 3  0  63488 2840964      0 13161544    0    0     0     1 5253  110 48  2 50  0  0
 3  0  63488 823392      0 15114364    2    0 18806    32 2638 1945 16  4 78  2  0
 1  1  78080 173160      0 15623552   26 1005 110244  5382 10626 56705 10  6 77  7  0
 3  0 103936 167408      0 15617968  125 1834 114852  1863 13807 29152 14  7 66 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  5 129792 162720      0 15619652   68 1760 154041 62814 3971 6223 12  7 46 34  0
 1  1 152832 160580      0 15640084  396 1685 130560  1698 8052 35645 16  6 66 12  0
 0  3 107776 173384      0 15587028 3726  199 103868   200 11333 32353 14  7 65 14  0
 0  3 109824 168052      0 15592360    0  146 162414  6919 7840 8445 15  8 48 29  0
 1  2 110336 806420      0 14937884   16   21 108078  8202 4622 4746 14  6 43 37  0
 3  0 119296 172100      0 15592040   55  629 96331  7460 5542 5863 27  8 50 16  0
 3  0  97536 915624      0 15057124 1462   21 42083 13619 3925 24369 29 11 54  6  0
 3  0  96512 173512      0 15785848  113   24 183483    35 7632 11148 10 14 55 21  0
 1  2  96256 175852      0 15768792    6    3 160434     4 7807 10763  5  9 50 36  0
 2  3  96256 172912      0 15820312   36    0 154085    16 7465 11665  4  8 50 38  0
 0  1  96512 170852      0 15735952  102   91 110145    91 8077 15104 11 16 55 17  0
 0  3  97280 162264      0 15711372    9   53 152397    69 14352 14825  7 10 54 30  0
 3  0  96512 164688      0 15710828   42    1 127487     4 15395 16848 11 11 53 25  0
 2  1  98048 169960      0 15810960   59   93 73939   101 9572 20266 13 12 58 17  0
 3  0  97280 164696      0 15815168   90   78 104017    78 12535 19608  7  7 53 33  0
 3  0  98048 169612      0 15740196   44   48 55468    61 6596 33216 21 10 67  1  0
 0  3  98048 172708      0 15710500    0   10 100901    10 14178 28348  7  6 55 32  0
 0  4  97792 138416      0 15746236   53    0 99426     9 12878 22637  6  6 45 44  0
 0  3  98048 175452      0 15705004    2   13 108437 13004 13510 23720  7  7 49 37  0
 3  0  97280 165980      0 15727124    1   33 139726    43 8786 35988 18  4 71  7  0
 0  3  97280 175348      0 15706204    0    1 115726     1 13488 22896  7  7 51 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3  97792 168620      0 15711464   49   41 103513  8845 13887 23621  9  7 49 35  0
 0  1  96512 157368      0 15791496  114    6 122847  3937 11642 18367  8  5 57 30  0
 1  3  97280 168740      0 15711092  101  154 103471   158 11971 42711 15  5 67 12  0
 0  3  97280 164056      0 15717796    2    6 113314     7 15016 26342  6  6 49 39  0
 0  3  97024 172960      0 15707480   63    6 108600 13031 13511 24296  6  6 48 40  0
 1  2  97792 174368      0 15712180   35  131 79701   133 10877 49431 16  6 61 17  0
 2  1  97024 169088      0 15713528  131   98 106988   113 15355 22129  9 10 51 30  0
 2  2  97280 147152      0 15736300   12   10 70041  8757 10161 15540  9  7 42 42  0
 0  3  97024 161648      0 15752748  246  223 153046  5311 13842 18567  6  9 53 32  0
 3  0  96512 169044      0 15742556  292  250 198161   250 22480 12132 10 12 50 29  0
 0  4  97792 171524      0 15699420  131  157 95009 73347 11686 25917 13 10 61 15  0
 0  3 100608 178796      0 15690624  392  443 263946  6215 20101 14898  2  6 49 44  0
 1  2  97280 167240      0 15704308  378  267 233680  5933 19923 13749  5 10 48 37  0
 2  1  97280 175184      0 15696380   19    0 206990     1 18056 13546  6 11 49 34  0
 3  0  97280 171568      0 15754492    4    0 208655   136 10046 16302 15  7 56 22  0
 1  2  97536 177996      0 15693076    0    7 166327 76315 9490 24776 10  5 73 12  0
 2  1  96768 188348      0 15683848   76   24 244348    31 21569 13278  5 11 49 36  0
 0  3  96512 163304      0 15707468   11   15 184702 10414 17491 13601  6 11 49 34  0
 1  2  96512 174740      0 15697196    0    0 218499    19 20827 17859  3  7 50 40  0
 2  1  96512 230524      0 15639968    0    0 175161    70 15024 14891  9 10 48 32  0
 0  1  96512 174176      0 15713364    6    0 189572  7783 5749 23555 16  4 72  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2  97280 161468      0 15710948   35   60 241657 70111 20051 12798  2  6 56 36  0
 2  2  96768 155200      0 15717572   55   23 187066    30 15288 12150  7 11 48 34  0
 1  2  96768 168972      0 15702824    0    0 218102 10883 20109 14156  5  9 49 37  0
 1  2  96768 242872      0 15628940   38    0 198509    21 15713 13936 10 10 48 32  0
 0  3  96768 166776      0 15716116   12    1 191721  7074 6002 31137 14  5 75  6  0
 2  1 101632 159448      0 15707528  959  968 229341 71023 19278 11249  2  9 53 36  0
 3  0  96768 159964      0 15712964   57   39 180323  2392 14229 12131  7 12 49 33  0
 1  3  96512 169632      0 15701024   40    0 230474  8351 21326 14931  4  8 49 39  0
 1  2  96512 218968      0 15651908    0    0 220627     0 18215 16271  7  6 49 37  0
 0  2  96256 176616      0 15626360    9    0 118410 29346 9853 49327  8  6 81  5  0
 2  1  96512 176452      0 15596060    0    8 88716 20062 12193 58723  3  5 87  5  0
 2  1 100352 165424      0 15598588  195  285 132555   289 17520 22268 12  8 49 31  0
 2  1  99584 178204      0 15596440  149   65 142447  1084 10831 19513 15  7 50 28  0
 3  0 102144 625908      0 15209196    5  163 18335  8819 10507 12862 31 11 53  5  0
 0  1  99328 467120      0 15520504  203    0 70603     0 3305 19942 15  8 71  7  0
 0  3 100864 165860      0 15790432  241  281 94653   294 7353 9471 11  6 73 11  0
 3  0 103936 220952      0 15775224  152  380 53103   384 7527 8988 27  9 56  9  0
 1  0  96512 170028      0 15827880  548  300 29153   312 3602 1603 18  5 75  2  0
 1  0  96256 160388      0 15837044    3    2 29490    15 2376  147 16  0 83  0  0
 1  0  96256 159924      0 15836992   23    0    24    10 1094  114 17  0 83  0  0
 1  0  96256 187544      0 15810044    0    0    45     0 1125  121 16  1 83  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  96512 359296      0 15557992   45   27 24661    41 3278 18057 20  8 70  1  0
 1  0  96256 379448      0 15516544   44    0  6871     9 1331  509 11  6 83  1  0
 1  0  96256 258036      0 15550584   10    0    64    17 1154  173 12  5 83  0  0
 0  0  96256 527212      0 15478792    5    0    39    17 1263  243 11  6 84  0  0
 3  0 100352 170192      0 15706836   38  280 98423   292 4130 9233 20  5 62 13  0
 0  3 110592 167860      0 15739040    6  685 18187   691 3857 4535 22  3 68  6  0
 3  0 144896 166504      0 15701828 2420 3554 92935 77059 9005 12862 16  5 48 32  0
 2  0  96256 503128      0 15379164 2530  473 86873   473 6927 51879 26  5 56 13  0
 3  0  97024 162524      0 15691036    0   39 24181 90075 7118 23624 37  6 49  9  0
 3  0  96768 167788      0 15691544   20    0    20 20483 3800 34033 40  6 54  0  0
 3  1  96000 375648      0 15512580   81    0   280 82788 4126 42350 39  6 51  3  0
 3  0  96000 805308      0 15111988   12    0 43658 76776 5047 67860 34  7 55  5  0
 1  0  96000 172132      0 15732212    1    0 116404     7 10018 59657 25  6 59  9  0
 3  0  96000 166700      0 15737968    2    0 133919  9665 11274 47029 20  5 67  9  0
 3  0  96000 172372      0 15731556   49    0 129531    29 11923 49347 20  4 67  8  0
 0  1  96256 180584      0 15724504    0    3 137924     4 10546 35124 22  5 63 10  0
 0  1  96256 171292      0 15733016    2    1 141914  9686 12968 40509 20  5 66  9  0
 1  0  96256 161852      0 15742816    0    0 125283     0 12620 49987 21  4 67  8  0
 0  1  96256 176520      0 15727788   34    0 150178     3 9994 46806 21  4 68  8  0
 3  0  96256 166588      0 15787708    0    4 171045     4 8677 42577 19  4 68  8  0
 3  0  97024 172496      0 15732456    0   65 83339  9737 10472 34227 20  5 68  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1  97024 156484      0 15748320    5   10 101873    10 12419 57205 21  5 68  6  0
 0  1  96256 168512      0 15733556  129    0 100518     3 11924 56596 21  4 67  8  0
 2  0  96256 177816      0 15726588    6    3 71168     5 7647 59769 25  6 62  7  0
 3  0  96512 172752      0 15730908   23    7 132763    27 12243 56765 23  6 64  8  0
 3  0  96512 161420      0 15743124    3    0 111856  9665 13450 57805 21  4 70  5  0
 1  2  96512 184260      0 15724712   39   10 91399    16 12149 58065 22  4 69  5  0
 0  1  96512 171740      0 15366120   75   77 102841    78 7186 31360 13 10 64 14  0
 0  1  96512 167972      0 15370092    1   22 69421 11391 8956 45474  7  5 84  4  0
 0  1  96512 170372      0 15367284   40   12 46359    12 8483 42399  7  5 86  2  0
 2  0  96512 171592      0 15366244   14   10 51115 16949 9023 42336  5  4 89  2  0
 0  1  96256 184088      0 15354616    7    5 51570     6 9569 42935  6  4 88  2  0
 0  1  96256 170644      0 15367472    1    1 54043    13 9059 43748  6  5 87  2  0
 2  1  96256 182504      0 15355536    0    0 48959 15040 8180 40450  5  4 88  3  0
 2  1  96256 164648      0 15373792   41    0 52723     4 7708 35063  9  4 83  4  0
 0  1  96256 376032      0 15233008    1    0 80006  3993 4828 10279 22  3 68  7  0
 1  1  96256 166256      0 15370312    0    0 70153     3 11413 55892  7  5 86  2  0
 0  1  96512 169420      0 15366588    0   28 35786 19531 9608 54116 10  5 82  3  0
 1  1  96512 174884      0 15361540    0    0 29807     5 13192 60426 13  5 80  3  0
 1  0  96256 1061224      0 14787220   27   10  5500 12142 10931 50178 31  4 64  1  0
 0  1  96000 795700      0 14742780   22    0   476     5 2268 14989 23  3 74  0  0
 1  0  95744 1051204      0 14796536   25    2  1983 13657 7721 117194 37  6 56  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  95488 473632      0 15064820   14    0   477 11597 4759 114932 28  8 63  0  0
 0  1  95488 1414864      0 14561240    9    0  2298     1 3747 59894 31  3 66  0  0
 0  5  98304 175860      0 15744048   11  193 165324 14756 5814 30666 14  5 74  7  0
 0  3  96768 175532      0 15725684 3554 3439 121506 19574 9794 14683 11  6 63 20  0
 0  1  96768 173512      0 15764988   56   69 172102    87 11584 19854 14  6 65 15  0
 3  0  96256 169800      0 15729144   82   27 120708 36326 9303 20715 17  6 60 17  0
 1  2  96256 164432      0 15732220    2    0 168069    11 10497 17866 11  5 50 34  0
 0  1  96768 155696      0 15755548    5   26 171612    30 9771 25102 14  6 73  7  0
 3  2 100096 158084      0 15733352  163  266 128695 33859 11968 18850 12  7 49 31  0
 2  1  99072 165560      0 15725252 1096  931 159039   931 11864 18533 11  5 49 35  0
 0  3  99584 166060      0 15739804   70  268 133022  8129 13651 47067 14  7 56 23  0
 3  0 126976 173908      0 15717756  828 2080 142036 27327 7415 13399 12  8 48 33  0
 0  3 145152 183132      0 15694552 1795 2123 160273  2127 6579 12596 12  7 48 33  0
 0  3 126720 177632      0 15693184 3413 1853 161614  5936 6715 12412 12  8 49 31  0
 2  1  98816 168928      0 15726832  597  424 207509   444 17713 15552 10  7 50 34  0
 1  0  97536 173960      0 15821368   37   11 94733    13 5709 6816  6  5 75 14  0
 0  0  97536 194820      0 15813388   13    0 12761    10  985  756  5  1 93  1  0
